Visit Frequency;Days Since Last Loyalty Program Interaction;Purchase Recency;Average Spend per Visit;Loyalty Points Earned (Last X Days);Loyalty Points Redeemed (Last X Days);Total Loyalty Points Balance;Most Purchased Product Category;Change in Product Category;Time of Visit (Peak/Off-Peak);Preferred Order Method;Change in Order Method;Number of Complaints (Last X Days);Sentiment of Last Review/Feedback;Special Event Engagement;Churn Label
4;55;6;90277;474;50;958;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;1
6;14;0;90276;320;404;1022;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
12;13;3;90273;151;363;2759;Coffee;0;Morning;Takeaway;0;0;Positive;0;1
10;3;10;90273;311;271;217;Coffee;0;Morning;Delivery;0;0;Positive;1;0
7;47;4;90264;75;62;248;Coffee;0;Morning;Dine-in;0;0;Neutral;1;1
9;0;7;90258;183;403;359;Coffee;0;Evening;Takeaway;0;0;Neutral;1;0
10;1;18;90249;40;69;1836;Coffee;0;Morning;Dine-in;1;1;Negative;1;1
6;49;9;90243;69;260;1234;Pastries;0;Evening;Dine-in;0;0;Positive;1;1
10;10;17;90242;217;258;2615;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
5;4;4;90229;143;186;1124;Pastries;0;Morning;Delivery;0;0;Neutral;1;0
8;0;5;90219;26;405;139;Pastries;1;Morning;Dine-in;0;1;Neutral;1;0
8;20;3;90210;275;478;1464;Lunch;1;Morning;Dine-in;0;0;Positive;1;0
4;5;13;90202;268;302;1359;Coffee;0;Afternoon;Delivery;0;0;Positive;1;1
5;10;9;90178;425;129;1630;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;13;6;90164;465;221;824;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
6;8;23;90161;411;69;189;Coffee;0;Evening;Dine-in;0;0;Positive;1;1
2;5;12;90157;37;463;2407;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
9;24;2;90152;489;424;527;Coffee;1;Afternoon;Delivery;0;0;Neutral;1;0
12;4;17;90150;158;70;1272;Coffee;1;Morning;Takeaway;0;0;Positive;1;0
4;3;24;90149;69;168;1316;Coffee;1;Afternoon;Dine-in;0;0;Positive;1;1
10;3;0;90142;450;28;2399;Coffee;1;Morning;Takeaway;0;0;Positive;1;0
6;2;6;90140;266;249;2458;Coffee;1;Evening;Dine-in;0;0;Positive;1;0
9;6;11;90096;132;14;1614;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;12;12;90094;235;296;1145;Lunch;0;Morning;Takeaway;0;0;Negative;1;1
6;7;20;90092;483;207;949;Lunch;0;Afternoon;Takeaway;0;0;Positive;1;0
8;6;1;90091;134;220;1352;Coffee;0;Afternoon;Delivery;0;0;Positive;1;0
11;1;11;90090;97;388;2205;Coffee;0;Morning;Dine-in;0;1;Positive;1;0
6;15;9;90078;196;366;2977;Coffee;0;Evening;Dine-in;0;1;Positive;1;0
8;18;4;90077;436;134;2094;Coffee;0;Morning;Dine-in;1;2;Neutral;1;0
9;23;0;90073;57;244;2312;Lunch;0;Evening;Dine-in;0;0;Negative;1;0
10;7;6;90072;486;51;986;Coffee;0;Morning;Delivery;0;3;Positive;1;0
8;7;3;90062;306;197;2793;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
7;0;0;90052;28;466;1986;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
9;26;2;90048;227;175;2783;Lunch;0;Afternoon;Takeaway;0;0;Positive;1;0
11;42;1;90037;23;349;1574;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
8;18;45;90033;214;312;584;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
10;8;4;90031;341;484;1207;Coffee;0;Afternoon;Dine-in;0;2;Positive;1;0
8;16;5;90027;341;8;485;Pastries;0;Morning;Dine-in;1;0;Positive;1;0
8;44;17;90024;434;65;180;Lunch;0;Morning;Dine-in;0;0;Positive;0;1
6;11;0;90013;32;127;2596;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
5;12;8;90013;77;44;2157;Pastries;1;Afternoon;Dine-in;0;0;Positive;1;0
4;13;4;90004;221;86;1595;Coffee;0;Afternoon;Takeaway;0;0;Negative;1;0
4;9;2;90002;190;132;677;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
7;11;5;89994;50;341;2751;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
6;11;1;89992;251;395;2957;Coffee;0;Afternoon;Delivery;0;1;Positive;1;0
6;2;5;89986;22;401;1562;Pastries;0;Morning;Takeaway;0;0;Negative;1;1
8;14;12;89985;143;328;1787;Coffee;0;Evening;Takeaway;0;1;Positive;1;0
4;4;29;89977;18;53;1284;Pastries;0;Afternoon;Dine-in;0;0;Neutral;1;1
14;14;1;89974;306;411;2788;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;29;1;89968;107;307;93;Lunch;1;Afternoon;Dine-in;0;0;Positive;1;0
8;5;12;89965;442;420;2116;Pastries;1;Afternoon;Takeaway;0;0;Positive;0;0
4;1;25;89957;229;218;601;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
7;24;6;89932;457;256;40;Pastries;0;Evening;Delivery;0;0;Negative;1;1
8;44;2;89930;452;170;2427;Pastries;0;Morning;Dine-in;0;0;Positive;1;1
9;21;4;89926;92;84;2315;Coffee;0;Afternoon;Takeaway;0;0;Positive;0;0
3;16;2;89912;473;203;1653;Pastries;0;Evening;Takeaway;0;0;Positive;1;0
4;0;3;89910;126;335;2568;Coffee;0;Morning;Dine-in;0;1;Positive;0;1
8;16;8;89909;52;2;2149;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
7;19;3;89900;17;231;272;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
11;49;1;89888;361;43;152;Pastries;0;Morning;Takeaway;0;0;Neutral;1;1
5;8;28;89887;45;285;2827;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
10;0;16;89875;110;227;533;Coffee;0;Morning;Takeaway;1;0;Neutral;1;0
8;15;21;89873;99;298;232;Pastries;1;Morning;Dine-in;0;0;Neutral;1;0
7;34;19;89872;197;160;1381;Coffee;0;Morning;Takeaway;0;0;Positive;0;1
7;12;2;89868;164;453;1979;Pastries;0;Morning;Dine-in;0;0;Neutral;1;0
10;43;13;89845;272;35;732;Pastries;0;Afternoon;Takeaway;0;0;Neutral;1;0
5;14;6;89841;370;71;1999;Pastries;1;Evening;Takeaway;1;2;Positive;1;1
13;0;16;89820;354;42;1129;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
7;1;11;89808;11;68;387;Pastries;0;Morning;Dine-in;0;1;Neutral;1;0
5;20;1;89808;416;308;1145;Pastries;1;Evening;Dine-in;1;0;Neutral;1;1
9;15;9;89796;281;364;169;Coffee;1;Morning;Dine-in;0;0;Positive;1;0
9;7;2;89779;300;238;343;Pastries;0;Afternoon;Dine-in;0;3;Positive;1;0
7;20;20;89774;448;33;1211;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
4;0;1;89754;341;340;337;Coffee;1;Evening;Dine-in;0;0;Neutral;1;0
10;9;5;89741;481;187;557;Pastries;0;Morning;Dine-in;0;0;Neutral;1;0
2;0;21;89728;187;109;997;Coffee;0;Morning;Dine-in;1;0;Positive;1;1
12;6;9;89707;216;161;2795;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
15;13;11;89705;147;114;1084;Coffee;0;Morning;Dine-in;0;3;Neutral;1;0
10;13;0;89695;396;200;2711;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
12;3;3;89691;414;452;2849;Coffee;1;Morning;Takeaway;0;0;Positive;1;1
14;16;29;89691;58;47;23;Coffee;0;Evening;Dine-in;0;3;Positive;1;1
10;1;6;89684;109;253;1291;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
7;3;8;89674;41;329;202;Coffee;0;Afternoon;Dine-in;0;0;Neutral;0;0
11;24;14;89674;425;441;46;Pastries;0;Afternoon;Delivery;0;0;Positive;1;0
3;17;0;89674;299;121;1120;Coffee;0;Afternoon;Delivery;0;0;Positive;1;0
1;1;1;89673;11;11;1769;Coffee;0;Morning;Takeaway;0;0;Neutral;0;0
6;4;20;89672;33;108;2342;Coffee;0;Morning;Delivery;1;0;Positive;0;1
9;14;8;89670;483;235;2778;Coffee;0;Evening;Delivery;0;0;Negative;1;1
11;9;20;89663;98;497;1166;Coffee;0;Evening;Dine-in;0;0;Negative;1;0
12;12;7;89657;270;308;2511;Pastries;1;Evening;Dine-in;0;0;Positive;1;0
10;21;5;89653;183;315;1502;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
2;10;23;89647;456;36;663;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;1
10;18;1;89639;328;381;237;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
5;5;0;89631;23;130;1877;Coffee;0;Evening;Dine-in;0;0;Negative;1;1
9;27;20;89626;86;442;652;Coffee;1;Morning;Dine-in;0;0;Negative;0;1
9;0;31;89611;283;267;2759;Coffee;0;Morning;Dine-in;0;0;Neutral;1;1
5;14;17;89603;301;259;2540;Coffee;0;Morning;Dine-in;0;0;Positive;0;0
9;2;7;89592;371;21;2273;Pastries;0;Afternoon;Delivery;0;0;Neutral;1;0
8;0;2;89590;187;475;2246;Coffee;1;Afternoon;Takeaway;0;0;Positive;1;0
16;1;10;89574;252;395;1380;Coffee;1;Afternoon;Takeaway;0;1;Neutral;1;0
5;6;3;89548;77;245;57;Coffee;0;Morning;Dine-in;0;3;Positive;1;0
7;1;5;89546;160;381;769;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
5;3;3;89541;255;22;456;Coffee;0;Morning;Dine-in;0;3;Positive;1;0
4;9;12;89540;109;37;2451;Coffee;0;Afternoon;Dine-in;0;3;Positive;1;1
10;14;1;89535;27;70;392;Coffee;0;Evening;Dine-in;0;0;Negative;1;0
4;1;2;89533;138;415;1799;Pastries;1;Evening;Dine-in;1;0;Neutral;0;1
7;9;9;89530;414;64;2155;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
12;7;0;89521;468;384;2558;Coffee;0;Evening;Takeaway;0;1;Positive;0;0
5;45;15;89509;207;128;736;Pastries;0;Evening;Dine-in;0;0;Positive;1;1
9;36;18;89504;259;374;1595;Coffee;0;Evening;Takeaway;0;0;Neutral;1;0
14;21;6;89497;35;163;120;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
2;25;0;89495;135;196;2067;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
6;34;3;89493;278;392;2635;Coffee;0;Morning;Delivery;0;0;Neutral;1;0
8;9;0;89481;82;465;530;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
7;0;3;89480;186;43;278;Lunch;0;Morning;Dine-in;0;1;Positive;1;0
4;0;11;89446;281;190;513;Lunch;0;Afternoon;Dine-in;0;0;Positive;1;0
9;22;0;89441;316;447;2454;Coffee;0;Afternoon;Dine-in;1;0;Positive;1;0
5;19;0;89440;155;459;577;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
8;4;1;89427;129;390;1592;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
7;5;7;89417;286;14;832;Coffee;1;Morning;Dine-in;0;0;Positive;1;1
6;13;4;89407;299;147;1226;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
9;3;23;89354;166;94;2659;Pastries;0;Morning;Delivery;0;0;Positive;1;1
8;24;2;89345;400;59;42;Coffee;0;Evening;Takeaway;1;0;Neutral;1;0
9;42;9;89336;446;419;1926;Pastries;0;Morning;Dine-in;0;0;Positive;1;1
13;65;12;89323;210;57;1232;Coffee;0;Afternoon;Delivery;0;0;Positive;1;1
7;18;0;89314;154;130;37;Lunch;0;Afternoon;Takeaway;1;0;Positive;1;0
2;2;3;89314;120;250;1400;Coffee;0;Morning;Dine-in;1;0;Negative;1;1
9;0;1;89308;126;280;2897;Pastries;1;Afternoon;Dine-in;0;1;Positive;1;0
10;17;2;89305;407;318;1117;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
7;0;36;89296;444;148;2553;Pastries;0;Afternoon;Takeaway;0;0;Negative;1;1
6;5;25;89291;339;369;413;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;32;20;89286;311;262;715;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
3;7;3;89274;207;167;1851;Coffee;0;Evening;Dine-in;1;0;Positive;0;1
7;10;2;89271;484;86;675;Lunch;1;Evening;Dine-in;0;0;Positive;1;0
8;13;28;89262;181;281;2541;Coffee;0;Evening;Takeaway;1;0;Positive;1;1
6;11;9;89262;389;130;847;Coffee;1;Morning;Dine-in;0;2;Positive;1;1
10;1;0;89253;195;69;1229;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
11;14;7;89251;143;219;2012;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
9;0;5;89250;329;11;2309;Pastries;0;Morning;Takeaway;0;0;Neutral;1;0
15;6;69;89246;465;359;688;Coffee;0;Morning;Dine-in;0;0;Neutral;1;1
9;15;4;89231;387;277;1970;Coffee;0;Afternoon;Dine-in;1;0;Positive;1;0
6;20;24;89219;28;354;2899;Pastries;1;Afternoon;Takeaway;0;1;Positive;1;1
5;3;1;89216;315;60;590;Coffee;0;Afternoon;Dine-in;1;0;Positive;1;1
11;13;7;89197;252;99;1663;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
11;25;1;89192;477;122;2032;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
2;3;0;89175;478;350;2091;Coffee;0;Morning;Takeaway;0;1;Positive;1;1
8;13;3;89173;165;112;1970;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
4;16;24;89166;30;327;513;Pastries;0;Morning;Takeaway;1;0;Positive;1;1
9;2;3;89150;497;242;1909;Pastries;0;Afternoon;Dine-in;0;1;Positive;1;0
9;11;1;89141;365;303;2024;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
9;6;14;89134;485;318;1817;Pastries;0;Morning;Dine-in;0;0;Negative;1;1
7;9;15;89127;176;405;1834;Coffee;0;Morning;Dine-in;1;0;Neutral;1;1
8;7;2;89122;164;257;2375;Lunch;0;Afternoon;Takeaway;0;0;Positive;1;0
6;8;9;89111;75;365;299;Coffee;1;Afternoon;Dine-in;0;0;Neutral;1;0
2;2;2;89109;183;389;2008;Coffee;0;Morning;Dine-in;1;0;Positive;1;0
10;3;18;89102;458;445;1726;Lunch;0;Afternoon;Takeaway;0;2;Positive;1;0
6;1;8;89097;281;285;418;Coffee;1;Afternoon;Takeaway;0;0;Negative;1;1
6;1;27;89084;248;148;1382;Coffee;0;Morning;Delivery;0;0;Positive;1;1
12;21;4;89083;270;30;480;Coffee;0;Morning;Dine-in;1;0;Positive;1;1
5;2;17;89079;223;113;2973;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
6;18;12;89064;17;260;1133;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
12;3;11;89056;43;386;2988;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
7;17;47;89019;303;334;510;Lunch;0;Evening;Delivery;0;1;Positive;1;0
11;9;9;89006;64;177;290;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
6;11;4;88992;371;463;1635;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
5;28;1;88987;64;455;1924;Lunch;1;Afternoon;Dine-in;0;0;Positive;1;0
10;34;3;88985;400;385;1145;Pastries;0;Morning;Takeaway;0;2;Neutral;0;1
8;18;6;88984;223;432;72;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;5;0;88975;211;309;2843;Lunch;0;Afternoon;Dine-in;0;0;Neutral;1;0
8;16;1;88974;351;199;1370;Coffee;1;Morning;Dine-in;0;0;Negative;1;0
12;3;21;88972;418;120;2384;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;1
9;20;14;88972;270;466;809;Lunch;0;Morning;Dine-in;0;1;Positive;1;0
12;11;2;88965;357;59;727;Coffee;0;Morning;Dine-in;0;0;Negative;1;0
7;8;16;88964;247;91;596;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
6;14;33;88962;369;378;533;Lunch;0;Evening;Dine-in;0;0;Positive;0;0
11;0;7;88956;256;261;63;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;23;0;88950;113;382;1736;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
9;55;3;88936;355;487;344;Pastries;0;Evening;Dine-in;1;0;Positive;1;1
13;10;2;88935;64;455;1574;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
9;2;17;88934;75;321;1586;Pastries;1;Morning;Dine-in;0;0;Positive;1;1
5;30;4;88929;118;169;1722;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
13;39;60;88921;380;281;1295;Pastries;0;Morning;Takeaway;0;0;Neutral;1;1
13;8;0;88916;370;175;1176;Coffee;0;Morning;Takeaway;1;0;Negative;1;0
9;9;24;88911;44;228;1127;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
5;6;7;88907;78;483;980;Pastries;1;Afternoon;Delivery;0;0;Positive;1;0
10;3;2;88891;189;150;125;Coffee;0;Afternoon;Delivery;0;0;Positive;1;0
7;4;5;88880;435;116;1290;Pastries;1;Afternoon;Dine-in;0;0;Positive;1;0
10;48;4;88880;366;360;318;Pastries;1;Morning;Delivery;0;0;Negative;1;1
6;8;2;88875;2;398;954;Lunch;1;Afternoon;Takeaway;0;0;Positive;0;0
8;0;1;88869;132;477;832;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
10;15;5;88869;411;175;468;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
4;2;5;88869;294;43;586;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
6;5;4;88867;311;283;1209;Coffee;1;Evening;Dine-in;0;0;Negative;1;0
10;18;0;88863;231;72;2544;Coffee;1;Morning;Takeaway;0;1;Negative;1;1
7;8;11;88852;119;310;2698;Pastries;1;Morning;Delivery;0;0;Positive;1;1
12;4;1;88851;180;450;2716;Coffee;0;Afternoon;Dine-in;0;1;Positive;1;0
6;2;4;88845;24;66;523;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
4;15;2;88842;382;44;1212;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
6;11;69;88839;400;63;1940;Coffee;0;Evening;Dine-in;0;0;Positive;1;1
8;4;12;88829;118;159;991;Coffee;0;Evening;Dine-in;1;0;Positive;1;0
8;3;25;88817;251;419;2776;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;1
6;25;4;88808;417;140;2466;Pastries;0;Afternoon;Takeaway;1;0;Positive;1;1
8;8;2;88801;9;406;1243;Lunch;0;Afternoon;Dine-in;0;0;Positive;0;0
4;54;0;88797;221;312;1684;Lunch;0;Morning;Takeaway;0;0;Neutral;1;1
8;2;8;88790;355;132;1707;Pastries;0;Morning;Takeaway;1;0;Positive;1;0
13;11;0;88777;452;366;816;Pastries;1;Evening;Takeaway;0;1;Positive;1;0
9;2;12;88776;315;352;728;Pastries;0;Evening;Takeaway;0;0;Neutral;1;0
9;10;9;88763;454;413;946;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
12;10;29;88754;267;368;1842;Pastries;0;Morning;Delivery;0;0;Positive;1;1
5;23;18;88747;289;81;2405;Coffee;0;Morning;Dine-in;0;2;Positive;1;1
8;2;16;88745;59;194;2862;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
8;15;21;88743;459;241;1988;Pastries;0;Evening;Dine-in;0;0;Negative;1;1
11;21;1;88737;480;193;2088;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
5;30;8;88736;443;463;1654;Coffee;0;Evening;Delivery;0;0;Positive;1;0
16;24;21;88725;61;64;298;Coffee;0;Morning;Dine-in;0;0;Negative;1;1
9;9;7;88718;192;27;788;Coffee;0;Afternoon;Takeaway;0;0;Neutral;1;0
10;27;10;88716;190;424;2486;Lunch;0;Afternoon;Dine-in;0;0;Neutral;1;0
8;2;9;88716;380;88;2856;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
10;4;15;88713;81;161;2070;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
10;6;25;88713;101;219;815;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
9;2;10;88712;144;79;630;Coffee;0;Morning;Takeaway;0;0;Neutral;1;0
5;6;2;88710;432;494;1674;Coffee;0;Evening;Dine-in;0;0;Negative;1;0
8;8;6;88693;17;306;1355;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
4;28;0;88682;227;64;832;Coffee;0;Evening;Takeaway;0;1;Positive;1;0
11;25;6;88680;132;461;100;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
13;13;0;88678;485;434;1141;Coffee;1;Evening;Delivery;0;0;Positive;1;0
11;9;42;88671;182;7;2881;Coffee;0;Morning;Takeaway;0;0;Positive;1;1
8;7;1;88656;106;178;183;Pastries;0;Afternoon;Dine-in;0;3;Positive;1;0
7;5;33;88644;498;247;2624;Pastries;0;Morning;Dine-in;0;0;Negative;1;1
13;4;2;88643;342;190;2338;Coffee;0;Morning;Takeaway;0;1;Positive;1;0
10;22;2;88637;374;166;2765;Coffee;1;Evening;Delivery;0;0;Neutral;1;1
9;9;5;88631;157;41;2611;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
9;4;10;88627;10;123;12;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
10;12;19;88627;6;90;479;Lunch;0;Morning;Dine-in;0;0;Negative;0;0
9;17;13;88606;450;135;2717;Lunch;0;Morning;Delivery;0;0;Positive;1;0
6;9;12;88600;90;196;2759;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
8;11;1;88599;359;62;315;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
11;11;7;88585;64;129;2845;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
5;3;11;88584;72;382;2700;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;22;3;88582;293;45;410;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
6;4;29;88577;213;190;641;Coffee;1;Morning;Dine-in;0;0;Neutral;0;1
7;11;1;88574;443;136;1523;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
9;5;8;88570;87;356;490;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
9;1;0;88566;50;55;0;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
10;1;10;88556;209;208;2464;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
11;4;1;88538;309;334;2238;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
5;8;4;88535;172;341;2082;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
8;21;28;88532;267;286;1779;Coffee;0;Afternoon;Delivery;0;0;Positive;1;1
8;7;0;88530;313;173;1539;Pastries;0;Morning;Takeaway;0;0;Neutral;0;0
14;23;1;88530;251;26;1028;Lunch;0;Evening;Takeaway;0;1;Neutral;1;0
14;7;14;88518;193;426;1959;Coffee;1;Afternoon;Takeaway;0;0;Positive;1;1
8;34;37;88517;311;448;567;Coffee;0;Evening;Delivery;0;0;Positive;1;1
7;11;1;88514;142;46;1852;Lunch;0;Afternoon;Dine-in;0;1;Positive;1;0
8;22;1;88514;495;488;2727;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
10;37;1;88503;414;142;1733;Pastries;0;Afternoon;Dine-in;0;0;Neutral;1;1
12;6;3;88490;127;206;381;Coffee;1;Afternoon;Dine-in;0;0;Negative;1;0
9;2;7;88484;398;283;181;Pastries;0;Morning;Takeaway;0;2;Negative;1;1
7;3;2;88479;469;243;1625;Coffee;0;Afternoon;Takeaway;0;0;Positive;0;0
5;1;5;88479;299;424;1155;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
6;5;8;88470;409;250;1000;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
10;7;0;88469;175;228;2184;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
7;34;15;88467;193;70;1284;Coffee;0;Afternoon;Takeaway;0;0;Positive;0;1
6;16;2;88452;113;139;2757;Coffee;0;Afternoon;Takeaway;1;0;Positive;0;1
7;0;2;88432;100;130;1469;Coffee;1;Morning;Takeaway;0;0;Neutral;1;1
8;4;3;88431;449;183;2227;Coffee;0;Evening;Takeaway;0;1;Positive;0;0
9;38;8;88415;90;338;546;Coffee;0;Evening;Dine-in;0;0;Positive;1;1
8;2;0;88414;468;378;703;Coffee;1;Morning;Dine-in;0;0;Positive;1;0
3;2;51;88414;139;214;834;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;1
9;10;1;88408;418;206;994;Coffee;0;Evening;Delivery;0;2;Positive;1;0
12;9;0;88402;45;378;1377;Coffee;0;Afternoon;Delivery;0;0;Positive;1;0
6;9;13;88393;406;37;1167;Pastries;1;Afternoon;Takeaway;0;0;Positive;1;0
6;0;5;88389;156;446;2900;Coffee;0;Morning;Takeaway;0;1;Negative;1;0
9;13;4;88389;483;242;1478;Pastries;0;Afternoon;Takeaway;0;0;Positive;1;0
10;29;6;88389;126;160;806;Coffee;1;Afternoon;Delivery;0;1;Negative;1;0
9;0;7;88380;232;71;1967;Lunch;0;Morning;Takeaway;0;0;Positive;1;0
4;21;3;88378;232;341;2910;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
6;24;7;88377;43;252;2519;Pastries;0;Evening;Dine-in;1;0;Positive;1;0
9;9;2;88362;388;415;2039;Coffee;0;Morning;Dine-in;0;1;Positive;1;0
8;5;7;88356;13;98;145;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
10;15;6;88316;15;383;2215;Pastries;0;Afternoon;Dine-in;0;0;Neutral;1;0
8;3;3;88300;407;189;1076;Lunch;0;Afternoon;Dine-in;0;1;Positive;1;0
7;39;24;88299;397;255;1513;Lunch;0;Morning;Dine-in;0;0;Neutral;1;1
7;1;27;88298;40;223;2658;Coffee;0;Morning;Takeaway;1;0;Positive;1;0
8;39;5;88273;32;341;2177;Lunch;0;Afternoon;Dine-in;0;1;Positive;1;1
7;24;1;88264;461;369;2476;Coffee;0;Morning;Dine-in;0;0;Negative;1;1
6;6;2;88260;438;291;2358;Coffee;0;Morning;Takeaway;0;0;Negative;1;0
8;5;8;88250;206;388;2310;Coffee;0;Morning;Dine-in;1;0;Neutral;1;0
3;19;10;88240;291;57;2848;Pastries;1;Evening;Dine-in;0;1;Negative;1;1
14;41;2;88206;409;207;2717;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;1
4;30;2;88204;249;37;2895;Pastries;0;Evening;Dine-in;1;0;Positive;1;1
9;15;9;88203;438;437;2052;Pastries;0;Afternoon;Takeaway;0;0;Positive;1;0
12;6;0;88202;160;73;1815;Pastries;0;Morning;Dine-in;0;0;Positive;0;0
10;15;7;88199;193;107;2822;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
8;6;3;88197;323;53;900;Lunch;0;Afternoon;Takeaway;0;0;Positive;1;0
13;12;15;88180;420;20;1411;Lunch;0;Evening;Dine-in;0;0;Positive;1;0
7;8;29;88177;216;428;2109;Coffee;1;Morning;Dine-in;0;0;Neutral;1;0
4;4;19;88174;450;341;1688;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
7;4;21;88173;385;366;69;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
4;8;15;88171;128;184;1359;Pastries;0;Evening;Takeaway;0;1;Positive;1;1
5;11;55;88169;416;272;1197;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;1
10;1;8;88151;145;470;2314;Coffee;0;Morning;Takeaway;0;0;Neutral;0;0
9;4;2;88150;313;398;2522;Pastries;0;Morning;Takeaway;0;0;Neutral;1;0
9;18;10;88149;172;248;706;Pastries;0;Afternoon;Dine-in;1;1;Neutral;1;0
8;27;12;88148;468;48;1917;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
